Nikolas
Eleni
Georgios
Katerina
Dimitris
Maria
Alexandros
Sofia
Christos
Despina
Panagiotis
Athina
Ioannis
Melina
Thanasis
Irini
Spyros
Daphne
Stavros
Nefeli
Vasilis
Evangelia
Konstantinos
Ariadne
Petros
Zoe
Haralambos
Thalia
Lazaros
Kyriaki
Leonidas
Roxani
Manos
Calypso
Marios
Olga
Antonis
Fotini
Yannis
Selene
Nikos
Euterpe
Argyris
Eirene
Michalis
Helena
Stratos
Nike
Takis
Xenia
Dionysis
Charis
Loukia
Myrto
Pavlos
Theodora
Markos
Ida
Evangelos
Lydia
Kostas
Ismini
Alekos
Chara
Miltiadis
Sappho
Christina
Themis
Iason
Phoebe
Stephanos
Nausicaa
Rena
Hector
Aglaia
Philippos
Danae
Platon
Galatea
Aris
Rhea
Apostolos
Calliroe
Giorgos
Eunice
Damianos
Hypatia
Alexia
Nestor
Andriana
Pericles
Eleni
Charalampos
Zephyra
Panayiota
Leto
Kleon
